fecha;dolar_precio;total_dolar;total_local;material_1;cantidad_1;costo_dolar_1;costo_local_1;comprado_en_dolares_1;proveedor_1
2017-10-07;26749.28;0;0;FRANELA;1;4.22441276924089;0;1;10
2017-10-09;26645.68;0;0;FRANELA NIÑO;1;1.31353375106209;0;1;10
2017-10-14;31109.3;0;0;FRANELA NIÑO;2;1.44651277913679;0;1;10
2017-10-15;31109.3;0;0;FRANELA NIÑO;1;1.7679600633894;0;1;10
2017-10-15;31109.3;0;0;FRANELILLA;1;2.82873610142305;0;1;10
2017-10-17;33348.41;0;0;FRANELILLA;3;1.28941679678281;0;1;10
2017-10-18;34101.73;0;0;FRANELA;1;2.75645839668545;0;1;10
2017-10-19;36201.18;0;0;FRANELA;12;2.15462589893478;0;1;10
2017-10-19;36201.18;0;0;FRANELA;3;2.20987271685619;0;1;10
2017-10-19;36201.18;0;0;FRANELA NIÑO;3;1.79552158244566;0;1;10
2017-10-20;38087.43;0;0;FRANELA NIÑO;2;1.44404597527321;0;1;10
2017-10-20;38087.43;0;0;FRANELA;1;2.46800584864875;0;1;10
2017-10-24;42715.91;0;0;FRANELA;1;2.10694329115311;0;1;10
2017-10-29;41152.81;0;0;FRANELA;1;2.91596126728649;0;1;10
2017-10-29;41152.81;0;0;FRANELA;1;2.91596126728649;0;1;10
2017-10-29;41152.81;0;0;FRANELA;1;3.40195481183423;0;1;10
2017-10-29;41152.81;0;0;FRANELA NIÑO;1;1.45798063364324;0;1;10
2017-10-29;41152.81;0;0;FRANELA;3;1.94397417819099;0;1;10
2017-10-29;41152.81;0;0;FRANELILLA;1;2.18697095046487;0;1;10
2017-10-29;41152.81;0;0;FRANELA NIÑO;3;1.45798063364324;0;1;10
2017-10-30;41243.87;0;0;FRANELA NIÑO;2;1.45476164094204;0;1;10
2017-10-30;41243.87;0;0;FRANELA;1;2.90952328188407;0;1;10
2017-10-30;41243.87;0;0;FRANELA;2;2.90952328188407;0;1;10
2017-10-30;41243.87;0;0;FRANELA NIÑO;3;1.57599177768721;0;1;10
2017-11-03;44347.76;0;0;FRANELA;1;2.25490532103538;0;1;10
2017-11-07;48532.11;0;0;FRANELA;1;2.67863894646246;0;1;10
2017-11-07;48532.11;0;0;FRANELA;1;2.67863894646246;0;1;10
2017-11-07;48532.11;0;0;FRANELA NIÑO;1;1.44234404809517;0;1;10
2017-11-07;48532.11;0;0;FRANELILLA;2;2.06049149727881;0;1;10
2017-11-07;48532.11;0;0;FRANELILLA;1;0.618147449183644;0;1;10
2017-11-07;48532.11;0;0;FRANELA;1;2.26654064700669;0;1;10
2017-11-07;48532.11;0;0;FRANELILLA;2;2.06049149727881;0;1;10
2017-11-07;48532.11;0;0;FRANELA;1;2.06049149727881;0;1;10
2017-11-07;48532.11;0;0;FRANELA;1;2.47258979673457;0;1;10
2017-11-07;48532.11;0;0;FRANELA;2;2.06049149727881;0;1;10
2017-11-08;49706.5;0;0;FRANELA NIÑO;6;1.40826652449881;0;1;10
2017-11-09;49830.98;0;0;FRANELA NIÑO;1;1.50508779879505;0;1;10
2017-11-09;49830.98;0;0;FRANELA;1;2.80949722441742;0;1;10
2017-11-10;52128.74;0;0;FRANELA;8;2.11016034532966;0;1;10
2017-11-14;57378.87;0;0;FRANELA;1;2.26564238717144;0;1;10
2017-11-15;60942.07;0;0;FRANELA;4;2.13317335627096;0;1;10
2017-11-15;60942.07;0;0;FRANELA NIÑO;2;1.31272206539752;0;1;10
2017-11-15;60942.07;0;0;FRANELA NIÑO;3;1.14863180722283;0;1;10
2017-11-15;60942.07;0;0;FRANELA;1;1.80499283992158;0;1;10
2017-11-16;65962.69;0;0;FRANELA;1;2.12241192710607;0;1;10
2017-11-16;65962.69;0;0;FRANELA NIÑO;1;1.36440766742533;0;1;10
2017-11-17;73218.75;0;0;FRANELA NIÑO;3;1.09261630388391;0;1;10
2017-11-17;73218.75;0;0;FRANELA;2;1.63892445582587;0;1;10
2017-11-17;73218.75;0;0;FRANELILLA;1;1.50234741784038;0;1;10
2017-11-20;81271.27;0;0;FRANELA;1;2.09176010169399;0;1;10
2017-11-22;82363.57;0;0;FRANELA;1;2.18543222446526;0;1;10
2017-11-23;81759.98;0;0;FRANELA;1;2.32387532384426;0;1;10
2017-11-23;81759.98;0;0;FRANELILLA;2;2.07925686870275;0;1;10
2017-11-23;81759.98;0;0;FRANELA;1;2.20156609627351;0;1;10
2017-11-23;81759.98;0;0;FRANELA;1;2.32387532384426;0;1;10
2017-11-27;84457.36;0;0;FRANELA;1;2.01285003462102;0;1;10
2017-11-27;84457.36;0;0;FRANELA;2;2.01285003462102;0;1;10
2017-11-27;84457.36;0;0;FRANELA NIÑO;2;1.42083531855602;0;1;10
2017-11-28;88235.61;0;0;FRANELA;2;2.03999269682614;0;1;10
2017-11-28;88235.61;0;0;FRANELA NIÑO;1;1.13332927601453;0;1;10
2017-12-04;108279.53;0;0;FRANELA;1;1.75471762760699;0;1;10
2017-12-05;103190.42;0;0;FRANELA;1;3.10106306379991;0;1;10
2017-12-06;98609.89;0;0;FRANELA NIÑO;1;1.72396501000052;0;1;10
2017-12-10;92778.11;0;0;FRANELA;1;3.44908944577552;0;1;10
2017-12-10;92778.11;0;0;FRANELA;1;3.66465753613649;0;1;10
2017-12-14;103555.08;0;0;FRANELA;2;3.28327688028438;0;1;10
2017-12-15;108198.44;0;0;FRANELA;1;2.95752877767923;0;1;10
2017-12-17;108198.44;0;0;FRANELA;1;2.95752877767923;0;1;10
2017-12-17;108198.44;0;0;FRANELA;1;3.14237432628419;0;1;10
2017-12-17;108198.44;0;0;FRANELA NIÑO;1;2.03330103465447;0;1;10
2017-12-18;115734.62;0;0;FRANELA NIÑO;1;1.9873050950528;0;1;10
2017-12-19;124190.13;0;0;FRANELA;1;2.57669429929738;0;1;10
2017-12-20;121205.72;0;0;FRANELA;20;2.47513071165289;0;1;10
2017-12-21;115265.19;0;0;FRANELA;1;2.51593737883918;0;1;10
2017-12-26;112137.87;0;0;FRANELA;1;3.38868573123424;0;1;10
2017-12-28;107128.11;0;0;FRANELA;3;3.5471548970667;0;1;10
2018-01-04;128446.21;0;0;FRANELA;1;2.33560803389995;0;1;10
2018-01-04;128446.21;0;0;FRANELA;1;2.72487603954994;0;1;10
2018-01-04;128446.21;0;0;FRANELA NIÑO;1;2.33560803389995;0;1;10
2018-01-05;136582.17;0;0;FRANELA;1;2.92863995351663;0;1;10
2018-01-05;136582.17;0;0;FRANELA;1;2.78220795584079;0;1;10
2018-01-06;136582.17;0;0;FRANELA;2;2.56255995932705;0;1;10
2018-01-06;136582.17;0;0;FRANELA;2;2.92863995351663;0;1;10
2018-01-06;136582.17;0;0;FRANELA;1;2.78220795584079;0;1;10
2018-01-06;136582.17;0;0;FRANELILLA;1;2.56255995932705;0;1;10
2018-01-06;136582.17;0;0;FRANELA NIÑO;1;1.97683196862372;0;1;10
2018-01-06;136582.17;0;0;FRANELA;1;2.56255995932705;0;1;10
2018-01-06;136582.17;0;0;FRANELA;2;2.56255995932705;0;1;10
2018-01-07;136582.17;0;0;FRANELA;1;2.56255995932705;0;1;10
2018-01-08;143274.69;0;0;FRANELA;1;2.79183992650761;0;1;10
2018-01-08;143274.69;0;0;FRANELA;1;2.0938799448807;0;1;10
2018-01-08;143274.69;0;0;FRANELA;1;2.0938799448807;0;1;10
2018-01-08;143274.69;0;0;FRANELA;1;2.65224793018223;0;1;10
2018-01-09;151496.94;0;0;FRANELA;1;2.31027768613676;0;1;10
2018-01-09;151496.94;0;0;FRANELA;1;2.31027768613676;0;1;10
2018-01-09;151496.94;0;0;FRANELA;2;2.31027768613676;0;1;10
2018-01-10;157541.72;0;0;FRANELA;1;2.22163373613034;0;1;10
2018-01-10;157541.72;0;0;FRANELA;1;2.22163373613034;0;1;10
2018-01-10;157541.72;0;0;FRANELA;1;2.22163373613034;0;1;10
2018-01-10;157541.72;0;0;FRANELA;1;2.79291098256386;0;1;10
2018-01-10;157541.72;0;0;FRANELA;4;2.22163373613034;0;1;10
2018-01-10;157541.72;0;0;FRANELA;1;2.22163373613034;0;1;10
2018-01-15;182492.35;0;0;FRANELA;1;2.63024724050077;0;1;10
2018-01-15;182492.35;0;0;FRANELA NIÑO;1;1.97268543037557;0;1;10
2018-01-15;182492.35;0;0;FRANELA;2;2.84943451054249;0;1;10
2018-01-15;182492.35;0;0;FRANELA;1;2.63024724050077;0;1;10
2018-01-15;182492.35;0;0;FRANELILLA;1;2.63024724050077;0;1;10
2018-01-15;182492.35;0;0;FRANELA;1;2.73984087552163;0;1;10
2018-01-19;211337.55;0;0;FRANELA;1;2.27124805790547;0;1;10
2018-01-19;211337.55;0;0;FRANELA NIÑO;1;1.7034360434291;0;1;10
2018-01-19;211337.55;0;0;FRANELA NIÑO;1;1.79807137917516;0;1;10
2018-01-19;211337.55;0;0;FRANELA NIÑO;1;1.89270671492122;0;1;10
2018-01-23;241664.88;0;0;FRANELA;1;2.40001774357946;0;1;10
2018-01-24;261517.23;0;0;FRANELILLA;2;2.60021108360623;0;1;10
2018-01-26;266630.76;0;0;FRANELA;1;2.62535350384929;0;1;10
2018-01-31;235782.12;0;0;FRANELA;1;2.9688425907783;0;1;10
2018-01-31;235782.12;0;0;FRANELA;1;2.9688425907783;0;1;10
2018-01-31;235782.12;0;0;FRANELA;1;2.9688425907783;0;1;10
2018-01-31;235782.12;0;0;FRANELA NIÑO;1;1.69648148044474;0;1;10
2018-02-02;224954.12;0;0;FRANELILLA;1;3.11174563062015;0;1;10
2018-02-15;237149.56;0;0;FRANELILLA;3;2.74088638410293;0;1;10
2018-02-15;237149.56;0;0;FRANELA;1;3.16256121242645;0;1;10
2018-02-16;236201.87;0;0;FRANELA;1;3.59861672560001;0;1;10
2018-02-16;236201.87;0;0;FRANELA;1;3.38693338880001;0;1;10
2018-02-18;236201.87;0;0;FRANELA;1;3.59861672560001;0;1;10
2018-02-19;234699.99;0;0;FRANELILLA;4;3.4086068772308;0;1;10
2018-03-03;216838.82;0;0;FRANELA;14;3.91996230195313;0;1;10
2018-03-04;216838.82;0;0;FRANELA NIÑO;4;2.30586017761949;0;1;10
2018-03-06;210226.73;0;0;FRANELA;1;4.04325368139437;0;1;10
2018-03-07;205899.46;0;0;FRANELA;2;4.7596045176612;0;1;10
2018-03-11;215778.05;0;0;FRANELA;3;4.4026720975558;0;1;10
2018-03-12;216164.25;0;0;FRANELA;1;4.39480626421807;0;1;10
2018-03-13;216732.61;0;0;FRANELA NIÑO;2;2.76838819963457;0;1;10
2018-03-16;226317.63;0;0;FRANELILLA;1;3.97671184520623;0;1;10
2018-03-16;226317.63;0;0;FRANELA;18;4.06508321954415;0;1;10
2018-03-17;226317.63;0;0;FRANELA;10;4.13136175029758;0;1;10
