fecha;dolar_precio;total_dolar;total_local;material_1;cantidad_1;costo_dolar_1;costo_local_1;comprado_en_dolares_1;proveedor_1;material_2;cantidad_2;costo_dolar_2;costo_local_2;comprado_en_dolares_2;proveedor_2;material_3;cantidad_3;costo_dolar_3;costo_local_3;comprado_en_dolares_3;proveedor_3;material_4;cantidad_4;costo_dolar_4;costo_local_4;comprado_en_dolares_4;proveedor_4;material_5;cantidad_5;costo_dolar_5;costo_local_5;comprado_en_dolares_5;proveedor_5;material_6;cantidad_6;costo_dolar_6;costo_local_6;comprado_en_dolares_6;proveedor_6;material_7;cantidad_7;costo_dolar_7;costo_local_7;comprado_en_dolares_7;proveedor_7;material_8;cantidad_8;costo_dolar_8;costo_local_8;comprado_en_dolares_8;proveedor_8;material_9;cantidad_9;costo_dolar_9;costo_local_9;comprado_en_dolares_9;proveedor_9;material_10;cantidad_10;costo_dolar_10;costo_local_10;comprado_en_dolares_10;proveedor_10;material_11;cantidad_11;costo_dolar_11;costo_local_11;comprado_en_dolares_11;proveedor_11;material_12;cantidad_12;costo_dolar_12;costo_local_12;comprado_en_dolares_12;proveedor_12
2017-8-1;17562.56;0;0;HERRAMIENTA_1;1;2.73308674817339;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;1.48363814184411;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;1;3.07838941034043;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-9-1;28434.07;0;0;HERRAMIENTA_1;1;2.74318801353447;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;4;2.5497580895032;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;1.392837472581;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-10-1;42715.91;0;0;HERRAMIENTA_1;2;2.90952328188407;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;3;1.57599177768721;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;1;2.18697095046487;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-11-1;88235.61;0;0;HERRAMIENTA_1;2;2.03999269682614;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;1.13332927601453;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;2;2.07925686870275;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-12-1;124190.13;0;0;HERRAMIENTA_1;3;3.5471548970667;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;1.9873050950528;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-1-1;266630.76;0;0;HERRAMIENTA_1;1;2.9688425907783;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;1.69648148044474;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;2;2.60021108360623;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-2-1;237149.56;0;0;HERRAMIENTA_13;4;3.4086068772308;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_1;1;3.59861672560001;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-3-1;235998.21;0;0;HERRAMIENTA_1;3;4.33273115449913;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;11;2.54239216475413;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;1;4.23732027459022;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-4-1;623765.77;0;0;HERRAMIENTA_1;6;4.02253591959652;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;3.7007330460288;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;1;1.93081724140633;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-5-1;1143564.25;0;0;HERRAMIENTA_1;1;6.29610448210496;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;2;3.41162163451202;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;1;4.29266736433958;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_4;1;3.9350653013156;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-7-1;3722105;0;0;HERRAMIENTA_1;1;5.38666210467418;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;3;1.93379076140856;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_13;2;5.1031535728492;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_4;1;3.12006018244376;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-8-1;4725940.1;0;0;HERRAMIENTA_2;12;2.54883987919324;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_4;1;2.750775448889;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_1;2;4.86675656341899;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-9-1;97.08;0;0;HERRAMIENTA_1;4;7.725587144623;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_4;4;4.87382215964475;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_2;1;4.72711645896003;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_6;1;4.29737859905458;0;SI;HERRAMIENTAS_CA;HERRAMIENTA_17;1;2.57842715943275;0;SI;HERRAMIENTAS_CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
